mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å,passes_valence_checks,passes_kekulization,inchi_crystal_valid,inchi_docked_valid,inchi_crystal,inchi_docked,inchi_overall,inchi_version,hydrogens,net_charge,protons,stereo_sp3,stereo_sp3_inverted,stereo_type,stereochemistry_preserved,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,rmsd,kabsch_rmsd,centroid_distance,mol_id,lig_idx
True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C25H45FN2O4/c1-3-32-25(31)27(2)15-21-20-13-18(26)11-12-22(20)28(23(21)24(29)30)14-17-9-6-8-16-7-4-5-10-19(16)17/h16-25,29-31H,3-15H2,1-2H3/t16-,17-,18-,19-,20+,21-,22-,23-,25-/m1/s1","InChI=1S/C25H23FN2O4/c1-3-32-25(31)27(2)15-21-20-13-18(26)11-12-22(20)28(23(21)24(29)30)14-17-9-6-8-16-7-4-5-10-19(16)17/h4-13H,3,14-15H2,1-2H3,(H,29,30)",False,True,False,True,True,False,False,False,False,35.0,0.888336916855402,1.0630302083725751,0.0,0.0,50.0,1.1160263165642479,0.0,411.0,0.6647106377610209,1.0,35.0,50.0,410.0,3,3,0.06932859312036853,0,0,,0,0,,94.72889122271654,5664.062868083437,59.7923484057962,58.7923484057962,1720.7797881649458,True,False,2.613643529634445,0,27,1674,C,O,1.7,1.55,3.25,2.613643529634445,3.25,0.8041980091182908,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.006766815536608472,,,,7.647965228677658,2.544445465919415,1.7610375158514686,L1001,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C32H58N2O3/c1-3-21-14-15-24-25(16-17-33-20(2)35)31(34-27(24)18-21)29(23-12-8-5-9-13-23)30-28(36)19-26(32(30)37)22-10-6-4-7-11-22/h20-37H,3-19H2,1-2H3/t20-,21+,24+,25-,26+,27+,28-,29+,30+,31+,32+/m0/s1","InChI=1S/C32H32N2O3/c1-3-21-14-15-24-25(16-17-33-20(2)35)31(34-27(24)18-21)29(23-12-8-5-9-13-23)30-28(36)19-26(32(30)37)22-10-6-4-7-11-22/h4-15,18,26,29,34,37H,3,16-17,19H2,1-2H3,(H,33,35)/t26-,29-/m1/s1",False,True,False,True,True,False,False,True,False,41.0,0.9072080446239937,1.0993054461565652,0.0,0.0,58.0,1.10037307524872,0.0,567.0,0.8764508704337198,0.0,41.0,58.0,567.0,3,3,0.05914412427994778,1,1,0.07891078356494191,1,1,0.12568540782274973,110.11975240364386,482.62719210607514,4.382748612955518,3.3827486129555173,56.020731531156734,True,True,2.346167670905044,1,0,1750,C,C,1.7,1.7,3.4,2.346167670905044,3.4,0.6900493149720718,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.007538253825382538,,,,3.0188929421587996,1.346839731351946,1.1675948623373693,L1002,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C21H36F4N2O2S2/c1-12-16-11-15(22)3-5-19(16)30-20(12)31(28,29)27-18-4-2-14(10-17(18)21(23,24)25)13-6-8-26-9-7-13/h12-20,26-29H,2-11H2,1H3/t12-,14-,15-,16+,17-,18+,19-,20-/m1/s1","InChI=1S/C21H14F4N2O2S2/c1-12-16-11-15(22)3-5-19(16)30-20(12)31(28,29)27-18-4-2-14(10-17(18)21(23,24)25)13-6-8-26-9-7-13/h2-11,27H,1H3",False,True,False,True,True,False,False,False,False,34.0,0.9330444948222727,1.0756846185554914,0.0,0.0,52.0,1.0821735177365235,0.0,379.0,0.9462177075077045,0.0,34.0,52.0,379.0,3,3,0.0853899067997181,0,0,,0,0,,92.885457656126,221.1836595159479,2.381251759934246,1.381251759934246,114.9052745025256,True,False,2.7821972647531665,0,5,1563,O,C,1.55,1.7,3.25,2.7821972647531665,3.25,0.8560606968471282,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.006096734859775098,,,,7.402571987927683,1.1638851471425036,5.928543818696811,L1003,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C25H45FN2O2/c1-13(2)19-17-12-16(26)10-11-18(17)27-23(19)20(15-8-6-5-7-9-15)21-24(29)22(14(3)4)28-25(21)30/h13-25,27-30H,5-12H2,1-4H3/t16-,17-,18-,19-,20-,21+,22-,23-,24-,25+/m1/s1","InChI=1S/C25H27FN2O2/c1-13(2)19-17-12-16(26)10-11-18(17)27-23(19)20(15-8-6-5-7-9-15)21-24(29)22(14(3)4)28-25(21)30/h5-14,20,22,27,29H,1-4H3,(H,28,30)/t20-,22-/m1/s1",False,True,False,True,True,False,True,True,False,33.0,0.9161293999771788,1.13631807354017,0.0,0.0,49.0,1.097434383779641,0.0,353.0,0.944465292025497,0.0,33.0,49.0,353.0,2,2,0.019675380216518237,1,1,0.10480081405039852,1,1,0.11934702841576555,106.85483002786954,446.5550092191938,4.179081180539286,3.1790811805392862,18.54979693224007,True,True,1.1368940891745398,7,0,1584,C,O,1.7,1.55,3.25,1.1368940891745398,3.25,0.3498135658998584,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0637329286798179,,,,4.896746779478528,2.10393989055444,1.5326383239984893,L1004,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C23H41FN2O4/c1-30-23(29)25-12-19-18-11-16(24)9-10-20(18)26(21(19)22(27)28)13-15-7-4-6-14-5-2-3-8-17(14)15/h14-23,25,27-29H,2-13H2,1H3/t14-,15-,16-,17-,18+,19-,20-,21-,23-/m1/s1","InChI=1S/C23H19FN2O4/c1-30-23(29)25-12-19-18-11-16(24)9-10-20(18)26(21(19)22(27)28)13-15-7-4-6-14-5-2-3-8-17(14)15/h2-11H,12-13H2,1H3,(H,25,29)(H,27,28)",False,True,False,True,True,False,False,False,False,33.0,0.9641061069795916,1.0691956285078723,0.0,0.0,47.0,1.0960374425629313,0.0,355.0,0.843201478165845,0.0,33.0,47.0,355.0,3,3,0.08752239987231986,0,0,,0,0,,94.70786304474218,277.4953141981891,2.930013467488902,1.930013467488902,17.291296831259565,True,True,2.6996783308386947,0,1,1696,O,O,1.55,1.55,3.1,2.6996783308386947,3.1,0.8708639776899015,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.00877950489349453,,,,7.528234547001485,1.7206591935972388,1.4995152652181425,L1005,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C34H62N2O3/c1-20-12-15-24(16-13-20)34(6)31(38)29(32(34)39)28(23-10-8-7-9-11-23)30-26(19-33(4,5)36-22(3)37)25-17-14-21(2)18-27(25)35-30/h20-32,35-39H,7-19H2,1-6H3/t20-,21-,22+,24+,25-,26+,27-,28-,29-,30-,31+,32-,34+/m1/s1","InChI=1S/C34H36N2O3/c1-20-12-15-24(16-13-20)34(6)31(38)29(32(34)39)28(23-10-8-7-9-11-23)30-26(19-33(4,5)36-22(3)37)25-17-14-21(2)18-27(25)35-30/h7-18,28,35,38H,19H2,1-6H3,(H,36,37)/t28-,34-/m1/s1",False,True,False,True,True,False,True,True,False,43.0,0.8667080700067278,1.1415042384906127,0.0,0.0,64.0,1.2300466783348694,0.0,634.0,0.7140144987174265,0.0,43.0,64.0,634.0,3,3,0.0985446057833429,0,0,,1,0,0.25279144243202306,126.47429840080744,5566.762003364392,44.01496646949458,43.01496646949458,210.92320352835202,True,False,2.8997498478317048,0,18,500,C,O,1.7,1.55,3.25,2.8997498478317048,3.25,0.8922307224097553,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.004659226351717413,,,,4.386845483096493,2.566615319266561,1.2137311584111614,L1006,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C28H48O2/c1-28(23-14-6-3-7-15-23)26(29)25(27(28)30)24(20-11-4-2-5-12-20)22-17-16-19-10-8-9-13-21(19)18-22/h19-27,29-30H,2-18H2,1H3/t19-,21+,22-,24+,25-,26-,27-,28+/m1/s1","InChI=1S/C28H22O2/c1-28(23-14-6-3-7-15-23)26(29)25(27(28)30)24(20-11-4-2-5-12-20)22-17-16-19-10-8-9-13-21(19)18-22/h2-18,24,29H,1H3/t24-,28+/m0/s1",False,True,False,True,True,False,False,True,False,34.0,0.9055016678831057,1.1455565341470166,0.0,0.0,48.0,1.0839402671261573,0.0,353.0,0.9143387079814634,0.0,34.0,48.0,353.0,4,4,0.04665360414219562,0,0,,1,1,0.12827095780715952,74.64245577809987,285.27555990264636,3.821894080638573,2.821894080638573,416.4619013804476,True,False,1.9874313120206177,2,9,506,O,N,1.55,1.6,3.1500000000000004,1.9874313120206177,3.1500000000000004,0.6309305752446405,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.016599246756869857,,,,4.600072316750395,2.34052177956266,0.5028515298221157,L1007,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C28H48O2S/c1-17-14-15-22-21(16-17)18(2)25(31-22)23(19-10-6-4-7-11-19)24-26(29)28(3,27(24)30)20-12-8-5-9-13-20/h17-27,29-30H,4-16H2,1-3H3/t17-,18-,21+,22+,23+,24-,25+,26+,27-,28-/m0/s1","InChI=1S/C28H24O2S/c1-17-14-15-22-21(16-17)18(2)25(31-22)23(19-10-6-4-7-11-19)24-26(29)28(3,27(24)30)20-12-8-5-9-13-20/h4-16,23,29H,1-3H3/t23-,28-/m1/s1",False,True,False,True,True,False,False,True,False,35.0,0.9174753875938014,1.1329061724122607,0.0,0.0,51.0,1.107975845898489,0.0,379.0,0.8813713611188932,0.0,35.0,51.0,379.0,3,3,0.0652347979526352,0,0,,1,0,0.2788216570016286,103.69225420119979,339.8490892115005,3.2774780703684248,2.277478070368425,183.52409316827703,True,False,2.686152143866763,0,17,501,C,C,1.7,1.7,3.4,2.686152143866763,3.4,0.7900447481961067,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.010775295663600526,,,,4.8276163410581425,2.13146496874587,0.8146182511835132,L1008,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C27H46FNO3/c1-16-20-15-19(28)12-13-21(20)29-25(16)23(18-10-6-3-7-11-18)24-26(30)22(32-27(24)31)14-17-8-4-2-5-9-17/h16-27,29-31H,2-15H2,1H3/t16-,19-,20+,21-,22-,23-,24+,25+,26-,27-/m1/s1","InChI=1S/C27H22FNO3/c1-16-20-15-19(28)12-13-21(20)29-25(16)23(18-10-6-3-7-11-18)24-26(30)22(32-27(24)31)14-17-8-4-2-5-9-17/h2-13,15,22-23,29-30H,14H2,1H3/t22-,23+/m1/s1",False,True,False,True,True,False,True,True,False,36.0,0.9796654246343034,1.0843739851623546,0.0,0.0,52.0,1.1041583535997035,0.0,408.0,0.8822661204005721,0.0,36.0,52.0,408.0,3,3,0.09870257544150947,1,1,0.10491826255636415,1,0,0.29431704610270387,109.61575467230209,2045.9023328530773,18.664309149440538,17.664309149440538,519.0557927457033,True,False,2.552111153535439,0,0,1584,C,O,1.7,1.55,3.25,2.552111153535439,3.25,0.7852649703185967,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0069084628670120895,,,,4.128185892397228,2.660760995776174,0.10582586840572587,L1009,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C20H34FNO2/c21-16-9-8-13-5-3-6-15(17(13)11-16)12-22-18-7-2-1-4-14(18)10-19(22)20(23)24/h13-20,23-24H,1-12H2/t13-,14+,15-,16+,17-,18+,19+/m0/s1","InChI=1S/C20H14FNO2/c21-16-9-8-13-5-3-6-15(17(13)11-16)12-22-18-7-2-1-4-14(18)10-19(22)20(23)24/h1-11H,12H2,(H,23,24)",False,True,False,True,True,False,False,False,False,27.0,0.9589573364707331,1.0398695755530771,0.0,0.0,39.0,1.0515021781731428,0.0,210.0,0.954741031288141,0.0,27.0,39.0,210.0,3,3,0.07987851629641736,0,0,,0,0,,84.51435294390244,233.6651913966338,2.7647989158922184,1.7647989158922186,761.7874675263851,True,False,2.328796697867807,2,0,1562,O,C,1.55,1.7,3.25,2.328796697867807,3.25,0.7165528301131714,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.025983531564501373,,,,2.0033333989877975,0.8909545707292017,1.0491847754427364,L1010,0
