mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å,passes_valence_checks,passes_kekulization,inchi_crystal_valid,inchi_docked_valid,inchi_crystal,inchi_docked,inchi_overall,inchi_version,hydrogens,net_charge,protons,stereo_sp3,stereo_sp3_inverted,stereo_type,stereochemistry_preserved,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,relative_deviation,z_value,relative_deviation_passes,z_value_passes,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,rmsd,kabsch_rmsd,centroid_distance,mol_id,lig_idx
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C25H45FN2O4/c1-3-32-25(31)27(2)15-21-20-13-18(26)11-12-22(20)28(23(21)24(29)30)14-17-9-6-8-16-7-4-5-10-19(16)17/h16-25,29-31H,3-15H2,1-2H3/t16-,17-,18-,19-,20+,21-,22-,23-,25-/m1/s1","InChI=1S/C25H23FN2O4/c1-3-32-25(31)27(2)15-21-20-13-18(26)11-12-22(20)28(23(21)24(29)30)14-17-9-6-8-16-7-4-5-10-19(16)17/h4-13H,3,14-15H2,1-2H3,(H,29,30)",False,True,False,True,True,False,False,False,False,35.0,0.9788064655171336,1.0515778472997035,0.0,0.0,50.0,1.0528937116278436,0.0,411.0,0.7904867086490855,0.0,35.0,50.0,411.0,3,3,0.02862166856995333,0,0,,0,0,,94.72889122271654,143.3133288518128,1.5128787743843604,0.5128787743843605,15.011331451635092,True,True,3.1105575159446883,0,4,1566,O,N,1.55,1.6,3.1500000000000004,3.1105575159446883,3.1500000000000004,0.9874785764903772,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0017213983050847457,,,,7.601859216295381,2.598228249605375,2.65008205446003,L1001,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C32H58N2O3/c1-3-21-14-15-24-25(16-17-33-20(2)35)31(34-27(24)18-21)29(23-12-8-5-9-13-23)30-28(36)19-26(32(30)37)22-10-6-4-7-11-22/h20-37H,3-19H2,1-2H3/t20-,21+,24+,25-,26+,27+,28-,29+,30+,31+,32+/m0/s1","InChI=1S/C32H32N2O3/c1-3-21-14-15-24-25(16-17-33-20(2)35)31(34-27(24)18-21)29(23-12-8-5-9-13-23)30-28(36)19-26(32(30)37)22-10-6-4-7-11-22/h4-15,18,26,29,34,37H,3,16-17,19H2,1-2H3,(H,33,35)/t26-,29-/m1/s1",False,True,False,True,True,False,False,True,False,41.0,0.9787644097688488,1.0588825020939556,0.0,0.0,58.0,1.0455522997253386,0.0,567.0,0.9882225857603191,0.0,41.0,58.0,567.0,3,3,0.009929363034191896,1,1,0.09268114423504147,1,1,0.11751751676508562,110.11975240364386,146.41996435225462,1.329643058182263,0.32964305818226297,5.459124332447363,True,True,2.8590395677569767,0,17,506,O,N,1.55,1.6,3.1500000000000004,2.8590395677569767,3.1500000000000004,0.9076316088117385,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.002477756504110823,,,,3.5274110826420486,0.8890820793576906,2.0177261714347257,L1002,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C21H36F4N2O2S2/c1-12-16-11-15(22)3-5-19(16)30-20(12)31(28,29)27-18-4-2-14(10-17(18)21(23,24)25)13-6-8-26-9-7-13/h12-20,26-29H,2-11H2,1H3/t12-,14-,15-,16+,17-,18+,19-,20-/m1/s1","InChI=1S/C21H14F4N2O2S2/c1-12-16-11-15(22)3-5-19(16)30-20(12)31(28,29)27-18-4-2-14(10-17(18)21(23,24)25)13-6-8-26-9-7-13/h2-11,27H,1H3",False,True,False,True,True,False,False,False,False,34.0,0.9835349520064703,1.0570798845795233,0.0,0.0,52.0,1.0641847511858815,0.0,379.0,0.9596442820689794,0.0,34.0,52.0,379.0,3,3,0.025908994269180943,0,0,,0,0,,92.885457656126,131.76419152143245,1.4185664241354181,0.41856642413541817,34.82021978752834,True,True,3.0448462062967967,0,22,372,F,N,1.5,1.6,3.1,3.0448462062967967,3.1,0.9822084536441279,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0020405387022173855,,,,7.914510638490177,1.0673827879517628,6.281258868245834,L1003,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C25H45FN2O2/c1-13(2)19-17-12-16(26)10-11-18(17)27-23(19)20(15-8-6-5-7-9-15)21-24(29)22(14(3)4)28-25(21)30/h13-25,27-30H,5-12H2,1-4H3/t16-,17-,18-,19-,20-,21+,22-,23-,24-,25+/m1/s1","InChI=1S/C25H27FN2O2/c1-13(2)19-17-12-16(26)10-11-18(17)27-23(19)20(15-8-6-5-7-9-15)21-24(29)22(14(3)4)28-25(21)30/h5-14,20,22,27,29H,1-4H3,(H,28,30)/t20-,22-/m1/s1",False,True,False,True,True,False,True,True,False,33.0,0.9667889396880981,1.064587986561904,0.0,0.0,49.0,1.053277622106844,0.0,353.0,1.003377431401586,0.0,33.0,49.0,353.0,2,2,0.015090436344147,1,0,0.04220569180529102,1,1,0.03602298616341732,106.85483002786954,174.2903872646823,1.6310950774918123,0.6310950774918123,3.682411636441305,True,True,3.228999053886514,0,28,1584,C,O,1.7,1.55,3.25,3.228999053886514,3.25,0.9935381704266196,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.001247747123249688,,,,5.1033342279337335,2.068721657745995,1.1111053185904594,L1004,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C23H41FN2O4/c1-30-23(29)25-12-19-18-11-16(24)9-10-20(18)26(21(19)22(27)28)13-15-7-4-6-14-5-2-3-8-17(14)15/h14-23,25,27-29H,2-13H2,1H3/t14-,15-,16-,17-,18+,19-,20-,21-,23-/m1/s1","InChI=1S/C23H19FN2O4/c1-30-23(29)25-12-19-18-11-16(24)9-10-20(18)26(21(19)22(27)28)13-15-7-4-6-14-5-2-3-8-17(14)15/h2-11H,12-13H2,1H3,(H,25,29)(H,27,28)",False,True,False,True,True,False,False,False,False,33.0,0.9698525524577131,1.0404875312148278,0.0,0.0,47.0,1.0604210851223312,0.0,355.0,0.8637114869677134,0.0,33.0,47.0,355.0,3,3,0.030650508655136403,0,0,,0,0,,94.70786304474218,144.3251344962851,1.5238981205615691,0.5238981205615691,4.693686372953349,True,True,2.857152978053503,0,3,1689,O,N,1.55,1.6,3.1500000000000004,2.8886891092673848,3.1500000000000004,0.9170441616721855,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.006030150753768844,,,,7.442037770664698,1.6318271861636036,1.966986494508236,L1005,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C34H62N2O3/c1-20-12-15-24(16-13-20)34(6)31(38)29(32(34)39)28(23-10-8-7-9-11-23)30-26(19-33(4,5)36-22(3)37)25-17-14-21(2)18-27(25)35-30/h20-32,35-39H,7-19H2,1-6H3/t20-,21-,22+,24+,25-,26+,27-,28-,29-,30-,31+,32-,34+/m1/s1","InChI=1S/C34H36N2O3/c1-20-12-15-24(16-13-20)34(6)31(38)29(32(34)39)28(23-10-8-7-9-11-23)30-26(19-33(4,5)36-22(3)37)25-17-14-21(2)18-27(25)35-30/h7-18,28,35,38H,19H2,1-6H3,(H,36,37)/t28-,34-/m1/s1",False,True,False,True,True,False,True,True,False,43.0,0.9761932616424681,1.0538718248779286,0.0,0.0,64.0,1.0808514907172213,0.0,634.0,0.8783813438019675,0.0,43.0,64.0,634.0,3,3,0.07073081239071105,0,0,,1,1,0.2288344524475296,126.47429840080744,272.0060690824697,2.1506825696748293,1.1506825696748293,5.642353668046527,True,True,3.1733839572292535,0,18,500,C,O,1.7,1.55,3.25,3.1733839572292535,3.25,0.9764258329936164,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0018995356690586745,,,,4.411795664683836,2.5087286088665697,1.2922694579534326,L1006,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C28H48O2/c1-28(23-14-6-3-7-15-23)26(29)25(27(28)30)24(20-11-4-2-5-12-20)22-17-16-19-10-8-9-13-21(19)18-22/h19-27,29-30H,2-18H2,1H3/t19-,21+,22-,24+,25-,26-,27-,28+/m1/s1","InChI=1S/C28H22O2/c1-28(23-14-6-3-7-15-23)26(29)25(27(28)30)24(20-11-4-2-5-12-20)22-17-16-19-10-8-9-13-21(19)18-22/h2-18,24,29H,1H3/t24-,28+/m0/s1",False,True,False,True,True,False,False,True,False,34.0,0.9715347204869353,1.0297628598610733,0.0,0.0,48.0,1.0960301033398716,0.0,353.0,0.9577247699286091,0.0,34.0,48.0,353.0,4,4,0.024353941350885124,0,0,,1,0,0.338225573345089,74.64245577809987,194.38681683937796,2.604239300717262,1.604239300717262,236.75748640954077,True,False,3.3229124243651076,0,25,1549,C,C,1.7,1.7,3.4,3.430311149152509,3.4,1.0089150438683852,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0016825574873808188,,,,4.619618544714126,2.280396767899841,0.4348403868343178,L1007,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C28H48O2S/c1-17-14-15-22-21(16-17)18(2)25(31-22)23(19-10-6-4-7-11-19)24-26(29)28(3,27(24)30)20-12-8-5-9-13-20/h17-27,29-30H,4-16H2,1-3H3/t17-,18-,21+,22+,23+,24-,25+,26+,27-,28-/m0/s1","InChI=1S/C28H24O2S/c1-17-14-15-22-21(16-17)18(2)25(31-22)23(19-10-6-4-7-11-19)24-26(29)28(3,27(24)30)20-12-8-5-9-13-20/h4-16,23,29H,1-3H3/t23-,28-/m1/s1",False,True,False,True,True,False,False,True,False,35.0,0.9845225005992045,1.0470772460207654,0.0,0.0,51.0,1.0557796723940611,0.0,379.0,0.9645777297450661,0.0,35.0,51.0,379.0,3,3,0.02092312239053521,0,0,,1,1,0.06991098326519593,103.69225420119979,165.56458618302798,1.5966919367166414,0.5966919367166414,48.08272273244312,True,True,3.371623783876251,0,2,1689,C,N,1.7,1.6,3.3,3.371623783876251,3.3,1.0217041769321973,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0006579813133307014,,,,5.282656034274011,1.8810120286391032,1.915622915283382,L1008,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C27H46FNO3/c1-16-20-15-19(28)12-13-21(20)29-25(16)23(18-10-6-3-7-11-18)24-26(30)22(32-27(24)31)14-17-8-4-2-5-9-17/h16-27,29-31H,2-15H2,1H3/t16-,19-,20+,21-,22-,23-,24+,25+,26-,27-/m1/s1","InChI=1S/C27H22FNO3/c1-16-20-15-19(28)12-13-21(20)29-25(16)23(18-10-6-3-7-11-18)24-26(30)22(32-27(24)31)14-17-8-4-2-5-9-17/h2-13,15,22-23,29-30H,14H2,1H3/t22-,23+/m1/s1",False,True,False,True,True,False,True,True,False,36.0,0.9791631170128143,1.048049609030262,0.0,0.0,52.0,1.067165133128437,0.0,408.0,0.968208654798296,0.0,36.0,52.0,408.0,3,3,0.02206706399021184,1,0,0.0322796471675258,1,1,0.05323712794843264,109.61575467230209,172.01151749102502,1.56922258123621,0.5692225812362098,16.726285508973568,True,True,3.2289893558201768,0,27,1691,C,C,1.7,1.7,3.4,3.2901317268462056,3.4,0.9676858020135899,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.002140468227424749,,,,4.556588651474916,2.868690518611394,0.8475520208499829,L1009,0
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"InChI=1S/C20H34FNO2/c21-16-9-8-13-5-3-6-15(17(13)11-16)12-22-18-7-2-1-4-14(18)10-19(22)20(23)24/h13-20,23-24H,1-12H2/t13-,14+,15-,16+,17-,18+,19+/m0/s1","InChI=1S/C20H14FNO2/c21-16-9-8-13-5-3-6-15(17(13)11-16)12-22-18-7-2-1-4-14(18)10-19(22)20(23)24/h1-11H,12H2,(H,23,24)",False,True,False,True,True,False,False,False,False,27.0,0.9797217802611494,1.0392098215505663,0.0,0.0,39.0,1.0472306048411995,0.0,210.0,1.020197628748415,0.0,27.0,39.0,210.0,3,3,0.014590580457567138,0,0,,0,0,,84.51435294390244,115.51868878501759,1.3668529044018678,0.36685290440186774,158.35455387148792,True,False,2.78496849892418,0,2,1584,O,O,1.55,1.55,3.1,2.78496849892418,3.1,0.8983769351368321,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.008428981348637015,,,,1.6737538037049136,0.8524429388784097,1.0803113430553422,L1010,0
